BAM,R1 FASTQs,R2 FASTQs,Paired-End,Cropped,Pooled,Duplicate FASTQs,Restricted,BAM Read Length,Mapped Reads,Unmapped Reads,Date Created,Donor,Biosample Ontology,BAM md5sum
ENCFF034CAM,ENCFF693RXC,,False,False,False,False,False,36,38980052,3695553,2016-12-19T07:30:17.797442+00:00,ENCDO741IWK,cell_line_EFO_0007083,ae64218e7a0fbdc3b442463bbe829a40
ENCFF474FIQ,ENCFF000WXY,,False,False,False,False,False,32,26993501,3904849,2016-07-13T02:43:48.878189+00:00,ENCDO000ABF,cell_line_EFO_0001182,2b2336b6e9de27012186a9441e008241
ENCFF663BEB,ENCFF317LUD,,False,False,False,False,False,40,42022744,3315146,2016-05-06T18:11:45.688630+00:00,ENCDO000AAD,cell_line_EFO_0002067,fa6a509406d40341c45521d27b67c522
ENCFF759BRF,"ENCFF377FRL, ENCFF601FJT, ENCFF105BSH, ENCFF283SSQ",,False,True,True,True,False,36,77295627,1352092,2017-10-19T22:27:26.320926+00:00,ENCDO336AAA,cell_line_EFO_0005723,2468c7e67b2e2046b0b418903d0f76d5
ENCFF114PMK,ENCFF044EPS,,False,False,False,False,False,49,36914062,771422,2016-05-06T18:11:37.373705+00:00,ENCDO000AAD,cell_line_EFO_0002067,f9a4dff7709890b7c2cbc43ad4c4f698
ENCFF554MAD,ENCFF000QVQ,,False,False,False,False,False,25,32452172,1219114,2016-10-26T17:41:45.512418+00:00,ENCDO000AAR,cell_line_EFO_0005234,81bbd7fc9aaa13e47df19b6e9f51bdfc
ENCFF802DBE,ENCFF027ECC,,False,False,False,False,False,36,38220640,2021993,2016-12-19T07:30:11.366690+00:00,ENCDO316SVQ,tissue_UBERON_0002048,4f64e2f0e1502840942105f92ac92aee
ENCFF809ITR,ENCFF160YIT,,False,False,False,False,False,50,33119279,1364856,2016-05-06T18:11:53.329563+00:00,ENCDO000AAC,cell_line_EFO_0001187,f9798ffefd22713ae8f42df558f2f589
ENCFF086JBG,ENCFF660TEM,,False,True,False,False,False,36,9833422,5068649,2017-10-20T18:54:51.573257+00:00,ENCDO840PTG,cell_line_EFO_0007076,9d1eb63d2cf173197d04941b51726aaa
ENCFF943DFZ,ENCFF000PVT,,False,False,False,False,False,36,17278665,2772708,2017-06-16T19:40:39.439896+00:00,ENCDO930BXC,primary_cell_CL_0002618,de2c339acec5a6330030439b4f86936d
ENCFF707CXU,ENCFF000WOT,,False,False,False,False,False,28,4332200,269121,2016-10-26T17:35:43.281972+00:00,ENCDO000ACJ,cell_line_EFO_0005350,268bbaf50f4cf5dd7a2213f79bb467bb
ENCFF176RYY,ENCFF000XTF,,False,False,False,False,False,36,45171584,11269106,2016-10-29T18:03:06.806064+00:00,ENCDO000AAC,cell_line_EFO_0001187,1b7ac2d752d2f759ab9b0f867d6cefb3
ENCFF499KZH,"ENCFF527MYS, ENCFF880KDO, ENCFF148FBA",,False,False,True,False,False,36,60292212,3311929,2016-12-19T07:29:52.193048+00:00,ENCDO424HVB,tissue_UBERON_0002369,a19c55fd6121d8a9acf593848fca768f
ENCFF674KBD,ENCFF002ECS,,False,False,False,False,False,36,40542657,231199,2016-05-06T18:13:43.132660+00:00,ENCDO000AAD,cell_line_EFO_0002067,8fb5dfa11b3ba92558edaf3081fcc30c
ENCFF316TSB,ENCFF279NIP,ENCFF838ENS,True,False,False,False,False,101,80539477,1922261,2016-12-12T22:23:44.203366+00:00,ENCDO271OUW,tissue_UBERON_0000992,b3894856e35b59df8391f3b1248df719
ENCFF479ZSZ,ENCFF991CCC,ENCFF236USK,True,False,False,False,False,101,115840623,3619853,2017-03-17T16:47:59.705507+00:00,ENCDO793LXB,tissue_UBERON_0001114,f78f3896d94cf63cc63a6ba58cae5652
ENCFF293JKT,ENCFF000ZVP,,False,False,False,False,False,36,30837026,2044083,2016-08-23T23:07:09.109642+00:00,ENCDO000AAD,cell_line_EFO_0002067,953aca674d21e7114ceee22bb370b7c8
ENCFF326QJB,ENCFF215CIJ,ENCFF559JAA,True,False,False,False,False,76,85915325,16610413,2016-12-06T16:15:37.180141+00:00,ENCDO271OUW,tissue_UBERON_0002190,44e9ddd119ac5ca317aad68c421e9c93
ENCFF912UTQ,ENCFF000WHZ,,False,False,False,False,False,28,9351362,8013671,2016-10-26T17:35:45.424481+00:00,ENCDO000ACA,cell_line_EFO_0002785,397b37972afe68f357db0615079fae3a
ENCFF561FHB,ENCFF781KAL,,False,False,False,False,True,76,5941202,1801849,2018-01-31T17:23:39.560603+00:00,ENCDO266GKW,primary_cell_CL_0001059,b0b1ed60b74472c2d9b4dfdc7a17583e
ENCFF379BDG,ENCFF000RCC,,False,False,False,False,False,36,35805926,3760487,2016-10-26T17:37:40.224394+00:00,ENCDO000ABD,cell_line_EFO_0003072,589134590e99cb76f209770e2896b68e
ENCFF242LBR,"ENCFF753ZNI, ENCFF706DCA, ENCFF418LZN, ENCFF775ENL",,False,True,True,False,False,36,52994719,1221255,2016-10-26T04:53:26.420363+00:00,ENCDO732PDS,cell_line_EFO_0007112,1c4c9b6436d0a63c4026674061c05b62
ENCFF650QMD,ENCFF149BTS,,False,False,False,False,True,76,28856632,9955216,2017-11-09T04:04:56.282507+00:00,ENCDO819SJC,primary_cell_CL_0002451,fbfec47774307e816f54bf15383f5ee9
ENCFF075HGO,ENCFF457TNI,ENCFF641SYT,True,False,False,True,True,76,35585042,10888780,2017-11-28T05:34:15.980045+00:00,ENCDO666YUN,primary_cell_CL_1001608,6052dfb107956bb7a38bf8a23ae1aa30
ENCFF068WBC,ENCFF002EFB,ENCFF002EEZ,True,False,False,False,False,101,72044755,1432363,2016-05-06T18:16:00.519719+00:00,ENCDO000AAC,cell_line_EFO_0001187,1ef750e0e4e051113473baf9848cab6f
ENCFF599SJC,ENCFF521UDO,,False,False,False,False,False,40,40250483,2659167,2016-05-06T18:11:18.897367+00:00,ENCDO000AAD,cell_line_EFO_0002067,3608f316bada70312c18101ae59cb656
